tweet  ;etiket;
dertler bitmiyor ;n;
hayata dert çekmeye gelmişiz ;n;
hep birlikte sağlık alanımızı güçlendireceğiz ;p;
hep birlikte korona virüsü yeneceğiz ;p;
düğün yapıp balayına gittim ama korona olmadım çok şükür ;p;
haziran temmuz aylarında ailecek korona geçirdik ;nt;
korona hayatımızı mahvettin ;n;
hayata dair bekletim yok ;n;
hayat hep acımasızdı virüs belasıyla daha acımasızlaştı ;n;
hayallerimi anlatırken cümlenin başında korona bittiğinde var ;nt;
hayalimdeki çalışma düzenine korona sayesinde ulaşıyorum ;p;
hayal kırıklıkları yaşıyorum ;n;
hava raporlarına elbette bakıyorlar ve yasakları zamanlıyorlar ;nt;
hastane tedavide yeterli değil ;n;
korona ilacını kullanan kişi öldü ;n;
ilaç içmeyen komşu sapasağlam ;p;
ilaçlar kalp krizi yapabilir ;nt;
virüsün çözülüp aşısının üretilmesi hakkında düşünmemiz gerekiyor ;nt;
korona öldürücülüğü oldukça düşük hastalık ;nt;
moralini yüksek tutmalısın ;p;
umarım sağlığına kavuşursun ;p;
henüz korona olmadım beklemekteyim ;nt;
spor salonunda güzel hayatı özledim ;p;
çok şükür sağlıklıyım ;p;
maske mesafe ve hijyen hiç unutmadım ve korona olmadım şükürler olsun ;p;
korona olup anlamadan yaşamaya devam ettim ;nt;
doğal takviyeler işe yaradı ;p;
korona başladığından beri her gün dışarı çıktım ;nt;
çevremde herkes korona oldu ;nt;
ben sağlam ayaktayım çok şükür ;p;
fakir olduğum için zaten dışarı çıkamıyordum ;n;
halkın güvendiği isimlerin korona virüs aşısı olup medyada paylaşması iyi oldu ;p;
halkın aşıdan korkmayacağına eminim ;p;
aşı hakkında tereddütlerinizin biteceğini düşünüyorum ;p;
halkın aşı hakkında tereddütlerinin biteceğini düşünüyorum ;p;
halk korona belasıyla savaş halinde ;p;
ilk dileğim şarkıyı bağırarak söyleyelim  ;p;
aşı vurulup maskesiz bir hayata adım atmak şstşyorum ;p;
aşıya karşı i̇çimde güvensizlik var ;n;
laboratuvar ortamında üretildiği bile şüpheli olan bir hastalık ;n;
ailecek başarılıyız ;p;
güçlü bağışıklıkla çözülecek ;p;
güzellikler sizin olsun ;p;
günlük korona verileri ölümler kritik eşiğin üstünde ;n;
gündem yapmaya gerek yok ;n;
okulların açılması iyi olur ;p;
işyerlerinde maske takmayana ceza uygulanacak ;nt;
korona olmayayım diye taktığım iç maske yüzünden boğulacağım ;n;
aşının gücün sınırsızdır ;p;
gözlerim bile acıyor ;n;
görsel için teşekkür ederiz ;p;
gönül isterdi beraber uyuyalım ama korona var ;n;
üni̇versi̇te kazanmak istiyorum ;p;
evde daha iyş ders çalışıyorum ;p;
koronanın aşısı olmaz ;n;
aşıyı çocuklar ve hamileler olamıyorsa onlar korunmalıydı ;nt;
korona sıkıntılarını yaşadığım halde işe geliyorum ;n;
okula gitmek istiyorum ;p;
geçen yıl kendime yazdığım mektubu okudum  ;nt;
geçen sene liseden mezun olanlara inanamıyorum ;n;
mezuniyet yapmadılar aşırı üzücü ;n;
gerçekten öğretmen maaşları gayet iyi ;p;
zaten eğitim yok ;n;
aşıdan korkuyprum ;n;
korona olalım bu hastalıktan ölelim ;n;
ülke olarak kendimize yakışanı yapalım ;p;
gençlik yıllarımızı korona heba etti ;n;
gelecek yıla bağlanan umutlar güzel ;p;
korona bitse güzelce karşılıklı çaylarımızı yudumlasak ;p;
galiba korona oldum ;nt;
en güzel zamanlarımızmış ;p;
futbolcular kendilerine iyi bakıyor ;p;
korona bittikten sonra sevdiklerime sarılacağım ;p;
olaylara karşı yaklaşımlarına hayranım ;p;
finalleri yüz yüze yaparak sağlığımı tehlikeye atıyorsunuz ;n;
eşitsizlik kendiliğinden ortaya çıkmaz ;n;
eğlenmeyi özledim ;p;
ailecek hiç korona olmadan atlatabilmeyi kutlayabiliriz ;p;
eğer hayatta kalırlarsa aşı insanları kurtarır  ;p;
evden çıkmıyorum ilk defa işe yaradı ;p;
evden hiç çıkmadığım halde ikinci kez korona oldum ;n;
insana çok korkuyor ;n;
evdekiler korona olmasına rağmen ben olmadım ;nt;
çok şükür atlattılar ;p;
insanlar kalabalık bir ortama girince rahatsız oluyorum ;n;
sosyal mesafe kuralları hiçe sayıldı ;n;
insana anlık bulaşsaydı bütün dünyada hasta olmayan kalmazdı ;nt;
korona istatistikleri hep yalandır ;n;
en büyük yükü sağlıçılaın üzerine yıktılar ;n;
umarım korona biter okulumuza döneriz ;p;
online eğitimle olmuyor ;n;
her ölene korona demeden önce düşünecektiniz ;nt;
elleri̇ yara oldu ;n;
eklemlerim ağrıyor ;n;
başım ağrıyor  ;n;
ekiplerimiz tarafından i̇lçemiz genelinde dezenfekte çalışmalarımız aralıksız devam ediyor ;nt;
yakınlarıma hastaneye gitmemelerini test yaptırmamalarını söyledim ;nt;
hiçbirimiz test olmadık korona olmadık herkes iyi ;p;
insanı hasta eden korkudur ;n;
korona bizi bitirdi ;n;
siz daha iyi bilirsiniz ;p;
savunmaya geçen bir vücuda korona işlemez ;p;
kendimi koronadan korudum ;p;
cinayete korona süsü verilmiş ;n;
aşı bana ulaşmadan öleceğim ;n;
korona virüs nedeniyle hayatını kaybettiğini üzüntüyle öğrenmiş oldum ;n;
aşı olunsun bu hastalığa yakalanmasın güzellemesi ile geldik  ;p;
doğal afetler oluyor ;n;
iyi şeyler listesi yapalım ;p;
dolabında etiketli kıyafet olanlara şaşırırdım korona yüzünden benim dolabım öyle ;nt;
korona ilacına güvenim tam ;p;
devletler üzerinden aşı olmayanlara yaptırım yapılması isteniyor ;n;
korona tarihte medya yoluyla yayılan ilk ve tek virüstür ;nt;
dijital karne verilecek ;nt;
dezenfektan antibakteriyel kolonya işe yaradı ;p;
devletimin ciğerine korona gibi girmişler ;n;
aşı derdimize derman olacak ;p;
depremlerde felaketler olmasın diye binaları sağlam yapabilirdik ;nt;
depolardaki korona aşıları görüntülendi ;nt;
dedemi koronadan kaybettik ;n;
korona aşısını olmuş ;nt;
aşıya millet nasıl rahatça güveniyor anlamıyorum ;nt;
korona bitsin ülkeden defoluğ gideceğim ;n;
cumhurbaşkanı açıklayacak yılbaşında yeni korona tedbirleri geliyor ;nt;
cesaretinden dolayı kutluyorum ;p;
kendimi tebrik ediyorum ;p;
bütün korona hastalarına şifa diliyorum ;p;
korona virüs tablosu açıklandı ;nt;
bunlar artık beni şaşırtmıyor ;nt;
bu yılı hiç korona olmadan bitirdim çok şükür ;p;
online egitim beni yoruyor ;n;
korona virüsünü kaleme aldık iyi okumalar dilerim  ;p;
aşı olup tedbir alalım ;p;
aşı değil soykırım silahıdır ;n;
aşı denilen şey zayıflatılmış virüstür ;nt;
korona döneminde sürekli evdeyim ;nt;
bilim kurulu toplantısı sonrası bakandan korona aşısı açıklaması geldi ;nt;
bilim adamları korona aşısı bulmak istiyorsa mesajı iyi değerlendirmelidir ;p;
benim kendi hayatım için güzel bir yıldı ;p;
evlere temizliğe giderek geçimizi sağlıyoruz ;nt;
virüsten iş yok çaresizim ;n;
ben artık konsere gitmek istiyorum ;p;
aşı vatandaşımızı zorlayıcı bir uygulama olmayacak ;p;
bakan son korona verilerini paylaştı ;nt;
can kaybı sayısı bir türlü düşmüyor ;n;
gelişmeler umut verici ;p;
aşıyı istemiyorum ;n;
aşıyı biz bulduk dünya bizim sayemizde kurtulacak ;p;
aşıya güveniyorum ;p;
adamların korona ile ilgili söyledikleri hiçbir şey doğru çıkmadı ;n;
aşırı sevgiden uyuyamıyorum ;p;
aşı yaptırdı bir hafta sonra korona oldu ;nt;
aşı vurulsan bile mesafe hijyen maske devam edecek ;nt;
aşı stratejisi değiştirilirse iyi olur ;p;
virüsün yayılmasını yavaşlatmak için herkese bir doz aşı yapılmalı ;p;
aşı sonuçları anlık paylaşılacak ;nt;
aşı olmuyoruz ;n;
aşı olmak istemeyen olmayabilir ;nt;
aşı başlayana kadar kısıtlamalar artırılmasında fayda var ;p;
aşka inancımı kaybettim ;n;
ağır hasta ve yoğun bakımdaki hasta sayımız düşmeye devam ediyor şükürler olsun ;p;
annemin iyileşmesi beni mutlu etti ;p;
annemin bitkisel otu iyi geliyor ;p;
annemi korkarken babamı ağlarken gördüm ;n;
annem sayesinde yeni bilgi öğreniyoruz ;p;
anneannem hastanede korona tedavisi görüyor ve hala iyileşemedi  ;n;
maske korumuyor ;n;
yoğun bakımda koronavirüs tedavisi görüp iyileştim çok şükür ;p;
ünlü teknik direktör hastalık dönemini anlattı ;nt;
korona yüzünden uyku düzenim bozuldu ;n;
korona virüsün habercisi belirtiler açıklandı ;nt;
mutlu yıllar ;p;
herkese iş sağlık diliyorum ;p;
yeni yıl herkese huzur getirsin ;p;
yeni yılda korona bitsin ;p;
iyi seneler ;p;
mutlu yıllar ;p;
koronanın bittiği bir yıl diliyorum ;p;
hayatın normale döndüğü bir yıl diliyorum ;p;
sağlıklı huzurlu güzel iyi bir yıl olsun ;p;
maske korumuyor ;n;
maske öldürür ;n;
milli değerlere sahip çıkalım ;p;
bir türlü yüzümüz gülmedi ;n;
öncelikle sağlık mutluluk huzur getirsin ;p;
web sitemizi ziyaret ederseniz seviniriz ;p;
evde kalmayı fırsata çevirip okuma kültürü oluşturulmasına farkındalık sağlıyoruz ;p;
evde kal kitap oku ;p;
sağlığımın iyi olduğuna seviniyorum ;p;
endişe duyulacak herhangi bir durum olmadığını mutlulukla ifade ederim ;p;
yılbaşını neşeyle kutluyoruz ;p;
koronanın bitmesini istiyorum ;p;
tüm yurt işgal edildi ;n;
yeni yılımızı tebrik ediyorum ;p;
dedemi kaybettik çok üzgünüm ;n;
korona bizi çok yordun yıprattın ;n;
günlerdir eve mahkumuz ;n;
sadece kötü günlerle geçti ;n;
kötü bir yıldı ;n;
sevdiklerimize sarılmak kıymetliymiş ;p;
güzel insanlarla birlikte yeni yıla girdim ;p;
yaşadıklarımız sadece bir fragman olabilir ;nt;
üzücü bir yıl oldu ;n;
maalesef sevdiğim birini korona sebebi ile kaybettim ;n;
hepimize huzur versin ;p;
hepimize öncelikle sağlık huzur bereket getirsin ;p;
sevdiklerimizle birlikte nice mutlu yıllara ;p;
kadına şiddetin son bulduğu bir yıl diliyorum ;p;
ekonominin düzelsin ;p;
koronanın bittiği bir yıl olmasını dilerim ;p;
kalplerimizde merhamet ve sevgi dünyamızda barış eksik olmasın ;p;
yeni yılınızı içtenlikle kutlarım ;p;
korona virüsün son bulacağı bir yıl diliyorum ;p;
sağlıklı afetsiz kazasız mutlu ve huzurlu bir yıl olması temennisiyle ;p;
yeni yılınız kutlu olsun ;p;
öncelikle korona salgınının acılarını geride bırakmasını istiyorum ;p;
sağlık huzur ve sevgi dolu yeni bir yıl olmasını diliyorum ;p;
sevdiğim korona virüsten hayatını kaybetti kalbim acıyor ;n;
korona yasakları uzatılıyor ;nt;
annemi kaybettim ;n;
arkadaşlar yeni̇ yılınızı kutluyorum ;p;
hepi̇ni̇zi̇ tanıdığım i̇çi̇n çok mutluyum ;p;
hepi̇ni̇zi̇ sevi̇yorum  ;p;
korona hayatımızdan çıksa iyi olur ;p;
korona olmadığım için kendimi şanslı hissediyorum ;p;
ağır hasta sayısındaki azalışa bağlı olarak kayıplarımız azalacak çok şükür ;p;
aşı olanlar korona oluyor ;nt;
aşı yaptırdı bir hafta sonra korona oldu ;nt;
bazı insanlar çok garip ;nt;
adamlar yaşama sevincimizi elimizden alıyor ;n;
eve tıkanmaktan bıktım ;n;
ömrümüzün sonuna kadar böyle evde oturmayalım ;n;
yeter artık ;n;
yasak istemiyoruz ;n;
ben evden hiç çıkmadan korona oldum ;nt;
hafızlığımı bitirmek istiyorum ;p;
muhteşem bir yıldı ;p;
benim gördüklerimi gören evden dışarı çıkmaz ;n;
berbat bir yılı geride bırakıyoruz ;n;
korona bitsin yeter ;n;
koronasız sağlıklı bir yıl diliyorum ;p;
ülkeye giriş çıkış yasaklansa ülke ekonomisi çöker ;n;
hayatın normale dönmesini diliyorum ;p;
bilim insanlarından sevindiren haber sonunda geldi ;p;
bilim insanı açıkladı yeni bir mutasyon tanımladık ;nt;
korona virüs aşısında herkesin merak ettiği soru yanıt buldu ;nt;
korona aşısıyla ilgili kimsenin söyleyemediği gerçeği açıkladı ;nt;
dikkat çeken aşı açıklaması geldi ;nt;
aşı olan kişi koronavirüse yakalandı ;nt;
kaybedecek zamanımız yok ;n;
bir korona hastası diğer aile bireylerini ölüme götürüyor ;n;
bir yönden sevinmeliyiz ;p;
bir yılım senin sayende rüya gibi güzel  geçti ;p;
kötü bir yıldı ;n;
aşıya güvenmiyoruz ;n;
nazik bir özür diledi ;p;
bizim toplumda cahillik akıyor ;n;
korona olduklarını saklayn insanlar çok kötü ;n;
herkes ailesine sahip çıkarsa iyi olur ;p;
bizler mücbir sebepten dolayı ehliyetlerimizi kaybettik ;n;
pandemi döneminde toplu taşıma kullanamaz hale geldik ;n;
korona oldum çok kötü bir hastalık ;n;
işe şahsi araçlarımızla gidip gelmek istiyoruz ;p;
ehliyet affı toplu taşıma da yoğunluğu azaltır ;p;
korona hastası  hasta gibi durmuyor ;n;
hayattan bıktım ;n;
işi beceremediniz ;n;
ülkede maalesef boşanmalar artmış ;n;
gençler umutsuzmuş olmuş ;n;
medya ile sürekli insanlara korku veriliyor ;n;
aklı başında insan olayları sorgulama yapar ;nt;
ne güzel normal hayata dönsek ;p;
korona bizi işsizlik ile vurdu ;n;
korona tedavisinde kullanılan ilaçlar iştahı tetikliyor ;nt;
korona virüsün bizde çıkmaması inanılmaz ;n;
manzaraları seviyorum ;p;
korona virüs aşısı geliyor çok şükür ;p;
sağlıkçılara güvenen ve destekleyen herkese teşekkürlerimizi iletiyoruz ;p;
yılbaşını kutlayamıyoruz ;n;
umarım bu yıl korona bitecek  ;p;
umarım ekonomi düzelir ;p;
herkesin iş bulmasını diliyorum ;p;
adil bir eğitim diliyorum ;p;
umarım gezegenimizde tüm ayrımcılıklar son bulur ;p;
korona yüzünden sevginizi alamadım ;n;
sağlık bakanşığına minnetarım ;p;
maalesef hepiniz endişelisiniz ;n;
iyileşiyorum çok mutluyum ;p;
bu yıl kötü geçti ;n;
herkese sağlık huzur güzellik getirsin ;p;
bu yılda diğer yıllarda olduğu gibi birşey yapmadık ;n;
yılı korona olmadan atlattık çok şükür ;p;
yılın benim için iyi yanı ben ve ailemin koronaya yakalanmaması ;p;
umarım hiç bir zamanda koronaya yakalanmayız ;p;
yılın kötü yanlarını saymaya gücüm yok ;n;
sevdiklerimizin eksilmeyeceği bir yıl olsun ;p;
bol sağlıklı mutlu huzurlu bir yıl olsun ;p;
can kayıplarına çok üzülüyorum ;n;
bugün havayi fişek yasak ;nt;
bugün korona virüsten babaannemi kaybettik çok üzgünüm ;n;
korona hastası hami̇le kadın çok şükür sağlıklı bebek doğurdu ;p;
valilik yeni korona tedbirlerini açıkladı ;nt;
yeni yılda sizlere sağlık bolca neşe diliyorum ;p;
yeni yılda en kısa zamanda koronasız günler diliyoruz ;p;
bütün dünya korona ile mücadele ediyor ;nt;
herkes evlere kapandı  ;nt;
masum insanlarla uğraşacak kadar kötüsünüz ;n;
bütün yıl gezip korona olmadığım için mutluyum ;p;
büyük olasılıkla bizim korona aşısını her sene olmamız gerecek ;nt;
seninle konserine gidip eğlenelim ;p;
çocukluğumda bizim aile kalabalıktı  ;nt;
televizyon kanallarındaki korona haberlerini pskilolojimizi bozdu ;n;
psikolojimiz çok kıymetlidir ;p;
sağlıklı huzurlu sevdiklerinle koronasız mutlu yıllar ;p;
koronadan korunmanın yolu güvenilir etkin bilinçli yapılan hijyen amaçlı mikrobiyal temizliktir ;p;
aşılar bir işe yaramıyor ;n;
antikorlar sekiz ay kadar dayanır ;nt;
karantinalar sıkıcı hal almaya başladı ;n;
millet iyice gerginleşti ;n;
korona on yıl boyunca maalesef hayatımızda olacakmış ;n;
maskenin hayatımızda olmasından nefret ediyorum ;n;
sonumuz iyi olsun ;p;
verilen cezalar hukuka uygun değil ;n;
harika bir metin yazdım ;p;
korona mutasyonuna rastlanmış ;nt;
umarım yeni yıl senin için güzel şeyler getirir ;p;
korona yetmiyormuş gibi sözlü sınava tabi tutuluyoruz ;n;
dışarı çıkmak zor ;n;
yılbaşı için en güzel dilekleri diledim ;p;
en güzel içten dilekler aldım  ;p;
ekran karşısında yılbaşına girdik ;nt;
korona bizi bırak artık ;n;
sevdiklerimizle kavuşalım ;p;
sosyal medyada düzenlediği anket sonucunda yılın kelimesi korona seçildi ;nt;
güzel bir yeni yıl  mesajı  aldım ;p;
dezenfeksi̇yon çalışmalarımız sürüyor ;nt;
doktor koronaya yenildi ;n;
doktorlar korona aşısı için güvenilir diyor ;p;
bu hainlere tazminat açalım ;n;
yeni yılda işsiz kimse kalmasın ;p;
korona döneminde yenmemesi gereken besinlerden bahsediyor ;nt;
çevremde herkes korona oldu korkuyorum ;n;
normal gripten hafif evde atlattım çok şükür ;p;
oluşturduğunuz panik havasına yeter artık ;n;
aşı için acil kullanım onayı verildi ;p;
aşının kanıtı yok ;n;
sağlıklı huzurlu mutlu yıllar  ;p;
yine çok kötü  hasta oldum ;n;
boğazlarım kötü acıyor ;n;
maske takmaktan artık tükendim ;n;
dört günlük yılbaşı yasağı başladı  ;nt;
dünden bugüne değişen birşey yok ;n;
maalesef korona ile yaşam var ;n;
maalesef kısıtlamalar var ;n;
bizim kocaman bir umudumuz var ;p;
aşıdan sonra bende umut oldu ;p;
dünya korona ile sarsıldı  ;n;
dünya korona tablosunda son durum açıklandı ;nt;
insanlık olarak en zor yılı geçirdik ;n;
korona virüstüm insanlığın derdi oldu ;n;
pandemisiz güzel bir yıl diliyorum ;p;
dünyanın her yerinde korona vakası artıyor ;nt;
düşünsene maske atma partisi veriliyor ne güzel olur ;p;
iyi yıl dileklerimi aldım ;p;
ehliyet affı istiyoruz ;p;
pandemide zorlanıyoruz  ;n;
toplu taşıma ile işe gidip gelmek istemiyoruz ;n;
bu muhteşem yere tüm dostlarım davetlidir ;p;
maskesiz çok huzurluyum ;p;
deprem korkusu yaşandı ;n;
maskeni̇ takarsan iyi olur ;p;
öncelikle mutlu yıllar ;p;
lanet korona yüzünden kötü geçti ;n;
bu yılın güzel olmasını diliyorum ;p;
aşıya şüpheci olan herkesi aşağıladı ;n;
korona tedbirleri işe yarıyor ;p;
fazla sevinmeyin ;n;
sinema salonlarına gitmek istiyorum ;p;
hayatımın neşesini göremiyorum ;n;
sokağa çıkma yasağında güzel kitaplar okudum ;p;
kadın cinayetleri bitmedi ;n;
gelen gideni aratacak ;n;
hayat çok sıkıcı geçmeye başladı ;n;
güzel hayalim gezmek ;p;
geçen sene yılbaşını ofisimizde güzelce geçirmiştik ;p;
geçen yıla ağşlayarak girmiştim ;n;
korona sonrası ağrılar geçmiyor ;n;
korona artık gitsin ;n;
korona olsa duramazdınız ;n;
seneye güzelce görüşürüz ;p;
iyi geceler ;p;
maske takmak istemiyorum ;n;
korona ve pandemi günlerinden bıktım ;n;
eski normali unutun söylemini duymak istemiyorum ;n;
sevdiğimle görüntülü konuştuğumuz için mutluyum ;p;
ailedeki bir kişi bütün aile fertlerini enfekte ediyor ;nt;
korona virüs hastalarının akciğerleri kötü durumda ;n;
umarım korona bitecek ;p;
okulların açılmasını diliyorum ;p;
hayatın normale döneceğine dair umudum var ;p;
verimsiz eğitim uyguladığınız ;n;
güncel veriler açıklandı ;nt;
korona tedbirlerine uyarak güzel günlere kavuşacağız ;p;
güzel yıllarımız olsun ;p;
mutlu bir aile olduk ;p;
herkese sağlıklı yıl diliyorum ;p;
harika süper yıllarımız olsun ;p;
herkese güzel bir enerji geldi ;p;
havalar güzel oldu ;p;
canlı müziğe gitsek güzel olur ;p;
gece gezmelerini özledim ;p;
koronadan kurtulmak umuduyla ;p;
hayatımın en istikrarlı yılıydı çok şükür ;p;
korona ya rağmen güzel günlerimiz oldu  ;p;
herkese huzur mutluluk ve sevgi dolu sağlıklı bir yıl diliyorum ;p;
mutlu yıllar ;p;
herkese pandemisiz bir yıl diliyorum ;p;
başından geçen güzel bir anı paylaşın ;p;
hayvan hakları yasasının çıkmasını diliyorum ;p;
i̇nsanlar ve hayvanlar için olumlu gelişmelerin olduğu bir yıl umut ediyoruz ;p;
korona virüsün daha fazla can almadan bitmesini umut ediyoruz  ;p;
koronadan sonra evlenirsen daha iyi olur ;p;
korona bitsin bıktım ;n;
sonraki yılı kutlamak istiyorum ;p;
korona vaka ve ölüm sayılarından bıktık ;n;
artık aşı oranlarını verme zamanıdır ;nt;
hepimiz korona virüsüz bir yıl diliyoruz  ;p;
hepinize güzel bi yıl diliyorum ;p;
umarım yeni yılda her şey daha iyi olur ;p;
kendinize çok iyi bakın ;p;
umarım bu yıl dileklerinizin hayallerinizin gerçekleştiği güzel bi yıl olur ;p;
umarım korona biter ;p;
her baş ağrısında korona olduk sanıyoruz ;n;
her yeni yıl yeni umutlarla geliyor ;p;
herkes seviniyor ;p;
aşı yeni yılın umududur ;p;
yeni yıl herkese sağlık getirsin ;p;
herkese huzurlu sağlıklı güzel seneler dilerim  ;p;
herkese mutlu yıllar ;p;
yeni yıl huzur adalet ve başarı getirsin ;p;
umarım bu yılda korona son bulur ;p;
herkese şimdiden mutlu yıllar ;p;
öncelikle umarım bu yıl korona biter ve bolca tatil yapabiliriz ;p;
çok şanslıyım sizi çok seviyorum ;p;
herkesin yeni yılı kutlu olsun ;p;
yeni yılda herşey çok güzel olacak ;p;
maskesiz devam edeceğimizi hiç sanmıyorum ;n;
herşey gönlünüzce olsun ;p;
yeni yıl sağlık getirsin ;p;
arkadaşlar huzurla sevdiklerinizle olun ;p;
korona virüsten hayatını kaybetti ;n;
i̇nsanları eve kapatmak çok kötü ;n;
ailelerin birlikte olmasını engellediniz ;n;
i̇nsanlığa sağlık ve mutluluk getirsin ;p;
i̇yi akşamlar dostlar ;p;
i̇yi seneler ;p;
her şey gönlünüzce olsun ;p;
yeni yılda maske takmazsak mutlu olurum ;p;
i̇şe geri döndüğüm için mutluyum ;p;
pek çok sektörde geri dönülecek bir iş yok ;n;
karantinamın ne zaman biteceğini hesaplamaktan bıktım ;n;
karı koca bir hafta arayla korona virüse yenildi ;n;
stoklarımızı tükendi ;n;
korona zamanı suya en çok ihtiyaç duyduğumuz zaman ;nt;
korona virüs sebebi ile yaşamlarını yitirdiler ;n;
korona aşı ile bitmesi umuduyla ;p;
korona aşının fiyatları açıklandı  ;nt;
korona aşısı yirmi gün arayla iki doz yapılacak ;nt;
korona aşısı karşıtlığı yeni yılın problemlerinden biri olacak  ;n;
nane her derde şifadır ;p;
korona aşısı olmuyorum ;n;
korona aşısında kötü skandallar yaşanıyor ;n;
vicdansız sağlıkçı herkesi sinirlendirdi ;n;
korona aşısına güveniyorum ;p;
korkutan uyarı geldi ;n;
aşıda durum hiç iyi değil ;n;
korona aşısını yaptırmayı reddedenlerin sayısı hızla artıyor ;nt;
kadına şiddetin olmadığı huzurlu bir yıl olsun ;p;
korona beni değiştirdi ;nt;
sevgimize korona bile engel olamadı ;p;
korona mutasyona uğradı ;nt;
korona bitince dünyamız çok güzel olacak ;p;
korona bitecek şükürler olsun ;p;
maalesef pandemi bitmedi ;n;
sokağa çıkma yasağı bitmedi  ;n;
korona bitsin kendime  muhteşem çikolata alacağım ;p;
korona bittiğinde güzel pikniğe gidelim ;p;
yeni yıl hepimize sağlık mutluluk ve başarı getirsin ;p;
korona deyince akıllara maske mesafe temizlik geliyor ;nt;
korona dünyanı mahveder ;n;
korona gelecek kaygısı yaptı ;n;
korona günlerinde evcil hayvan sahiplenmek iyi oldu ;p;
korona haberlerini veren programları seyretmeyin ;n;
korona hastalarının mucize kurtuluşu yaşandı ;p;
korona için yazılan ilaçlar kullanılmamalı ;n;
aşı vurulmamalı ;n;
korona ile ilgili bilgi kirliliği araştırılıyor ;nt;
korona kabusunda bugün gelen haberler hiç iyi değil ;n;
yılı bize güzelleştiren bir tavşanımız var ;p;
korona nedeniyle bugün iş erken bitti çok mutluyum ;p;
maalsef korona nedeniyle uzun yolculuklara ara verdim  ;n;
sağlıkçılara yılbaşı sürprizi  yapıldı ;p;
belediye sağlık çalışanlarına muhteşem bir süpriz yaptı ;p;
korona olmasaydı ben şimdi güzelce evlenmiştim ;p;
bizi tehlike bekliyor  ;n;
korona ruh sağlimizi bozdu ;n;
korona salgını bize acı verdi ;n;
doğanın kötülüğüne olan insanlığın iyiliğine olamaz ;n;
korona tanısı almış kardeşlerimiz ilaçları içmenizde fayda var ;p;
maalesef ailecek semptom gösteriyoruz ;n;
korona tiyatrosu bitsin ;n;
kötü korona tiyatrosunu anlatmış ;n;
korona toplntısında horlayarak uyumuş ;nt;
korona vaka hasta ve vefat sayısı azalmaya devam ediyor çok şükür ;p;
umarım kurtulacağız ;p;
korona vakalarında düşüş var şükürler olsun ;p;
durum iyiye gidiyor ;p;
korona varsa derman var ;p;
hastalıkların son bulmasını umut ediyorum ;p;
hasta kardeşlerimiz acil şifalar bulsun  ;p;
korona ve aşının tehlikeli proje olduğu belli̇dir ;n;
korona virüs mutasyon geçirerek değişime uğruyor ;nt;
korona virüs en çok paradan bulaşıyormuş ;nt;
korona virüs mücadelesinde galip olmak için elinizden gelen her şeyi yapıyoruz ;p;
pandemi ile evlere kapandığımız günlerde maalesef sokak hayvanları aç kalmaktadır ;n;
sokak hayvanlarına gereken ilginin gösterilmesini istiyorum ;p;
kediler sokakta yürürken ağlamaklı gözlerle insanlara bakıyorlar ;n;
esnafların korona virüs nedeniyle ticari faaliyetleri olumsuz etkilendi ;n;
esnaf ve sanatkarlara hibe ve kira desteği başladı çok şükür ;p;
sağlık çalışanı alkışlar eşliğinde taburcu oldu ;p;
korona virüste son durum açıklandı ;nt;
korona virüsten çok kişi hayatını kaybetti  ;n;
korona virüsten korunma yollarını güzelce yazdım ;p;
korona virüsün dünyayı terk etmesini umut ediyorum ;p;
korona virüsün dünyamızdan tamamen silindiği bir yıl diliyorum ;p;
herkesin sağlığına kavuştuğu yeni yıl diliyorum ;p;
korona virüsün ilacı bulundu çok şükür ;p;
korona virüsün yeni belirtileri ortaya çıktı ;nt;
korona virüsünü laboratuvarda geliştirilmiştir ;nt;
korona virüsünü yaratan  çok tehlikelidir ;n;
korona ile mücadele i̇çi̇n alınan tedbi̇rler hukuka uygundur ;p;
korona yasakı kalkarsa iyi olur ;p;
korona yüzünden işimizden olduk ;n;
korona yüzünden çok korkuyorum ;n;
korona öldürmez hastane ve ilaçlar öldürür  ;n;
karantina fikrin ne kadar saçma olduğunu gösterdi ;n;
koronanin getirdigi bazı güzellikler var ;p;
koronanın aşısı bana umut oldu ;p;
koronasız bir sene diliyorum ;p;
koronasız bir yıl diliyorum ;p;
koronasız bol neşeli yeni yılınız olsun ;p;
koronasız maskesiz her şey güzel ;p;
koronasız sağlıklı bir yıl olsun ;p;
koronavirus salgınının kontrol altına alınacağı tarih verdi ;nt;
koronavirüs aşısından bir hafta sonra korona oldu ;nt;
koronavirüs aşısı önce yaşlılara vurulacak ;nt;
koronavirüs başladığı yere farklı şekilde geri döndü ;nt;
koronavirüs tablosu korkutmaya devam ediyor ;n;
koronavirüsü atlattığına sevindi ;p;
en büyük arzum koronadan kurtulmak ;p;
normalleşmeyi kısa zaman sonra yakalarız ;p;
herkese iyi yıllar  ;p;
maalesef kısıtlama tatil trafiği getirdi  ;n;
zorlu ve bizleri yoran bir yıl geçirdik ;n;
lanet bir yıl geçirdik ;n;
koronavirüsü yenen sağlıkçı çok mutlu ;p;
okulları en yakın zamanda açmayı planlıyoruz ;nt;
mutasyona uğramış korona virüsü ülkemizde tespit edildi ;nt;
mutlu bir yıl istiyorum  ;p;
mutlu yıllar sevgili ülkem ;p;
herkese musmutlu yıllar diliyorum ;p;
